customer_id,age,gender,tenure_months,monthly_spend,num_support_tickets,payment_delay_days,last_login_days_ago,num_products_purchased,satisfaction_score,contract_type,uses_mobile_app,churned
CUST-0001,58,Male,4,263.42,3,14,17,24,1.4,Two-Year,0,1
CUST-0002,20,Male,12,88.24,8,38,3,18,1.8,Two-Year,1,1
CUST-0003,55,Female,1,269.2,2,44,54,11,2.1,Month-to-Month,1,1
CUST-0004,42,Male,46,298.91,9,16,5,24,2.8,Month-to-Month,1,1
CUST-0005,36,Non-Binary,47,208.41,11,4,5,22,1.9,Annual,0,0
CUST-0006,24,Female,36,166.89,5,10,47,12,1.8,Annual,0,1
CUST-0007,28,Non-Binary,32,69.74,6,17,81,23,3.2,Two-Year,1,0
CUST-0008,67,Male,30,290.3,12,20,51,9,1.3,Two-Year,1,1
CUST-0009,49,Female,59,62.86,2,15,71,18,2.1,Two-Year,1,0
CUST-0010,43,Female,29,349.1,2,32,63,3,4.0,Month-to-Month,0,0
CUST-0011,68,Non-Binary,55,214.8,6,24,76,15,3.1,Two-Year,0,0
CUST-0012,25,Non-Binary,69,266.54,12,41,43,4,2.2,Month-to-Month,1,1
CUST-0013,64,Non-Binary,34,340.58,12,11,64,4,4.5,Annual,0,1
CUST-0014,66,Male,70,334.42,8,0,76,11,3.0,Month-to-Month,1,0
CUST-0015,71,Female,31,34.4,9,5,10,24,2.9,Month-to-Month,0,1
CUST-0016,48,Non-Binary,22,103.79,9,27,27,18,4.0,Two-Year,0,0
CUST-0017,43,Non-Binary,48,161.76,8,28,15,8,1.9,Annual,0,1
CUST-0018,32,Non-Binary,29,17.41,11,40,7,8,1.3,Month-to-Month,1,1
CUST-0019,33,Female,63,86.77,2,36,73,16,2.0,Annual,1,1
CUST-0020,24,Non-Binary,56,133.69,6,29,6,22,3.6,Two-Year,0,1
CUST-0021,64,Female,14,98.3,3,34,57,5,2.7,Annual,1,1
CUST-0022,22,Female,71,47.8,10,34,1,3,4.7,Month-to-Month,0,0
CUST-0023,48,Male,52,317.32,2,24,0,13,2.1,Annual,1,1
CUST-0024,64,Non-Binary,63,66.86,4,13,7,19,3.9,Month-to-Month,1,1
CUST-0025,55,Female,65,322.99,8,10,7,17,1.3,Month-to-Month,0,1
CUST-0026,61,Male,52,55.16,9,15,74,20,1.2,Month-to-Month,1,1
CUST-0027,54,Non-Binary,41,328.13,3,42,40,8,2.1,Month-to-Month,1,1
CUST-0028,66,Male,2,168.53,9,6,9,18,1.9,Annual,0,0
CUST-0029,22,Male,48,110.47,7,34,90,10,3.4,Two-Year,0,0
CUST-0030,53,Female,14,329.54,2,16,14,4,4.0,Month-to-Month,1,0
CUST-0031,31,Non-Binary,44,83.21,10,16,64,16,2.0,Month-to-Month,0,1
CUST-0032,71,Female,6,16.19,12,8,81,9,1.6,Annual,1,1
CUST-0033,25,Male,20,197.77,5,37,70,5,2.7,Month-to-Month,1,1
CUST-0034,68,Male,46,85.38,3,42,13,12,4.1,Annual,0,0
CUST-0035,33,Male,23,310.27,0,11,42,14,4.2,Two-Year,0,0
CUST-0036,68,Non-Binary,14,143.15,0,30,28,7,4.3,Annual,1,0
CUST-0037,68,Male,29,22.93,3,25,42,9,4.5,Annual,1,0
CUST-0038,43,Non-Binary,69,125.94,0,7,33,6,3.3,Annual,0,1
CUST-0039,45,Female,41,161.19,8,7,49,19,1.8,Month-to-Month,1,1
CUST-0040,69,Non-Binary,26,137.01,1,42,42,20,2.3,Month-to-Month,1,1
CUST-0041,60,Female,42,149.8,4,35,16,7,2.7,Annual,0,0
CUST-0042,37,Female,71,294.3,4,18,26,14,4.1,Two-Year,1,0
CUST-0043,46,Non-Binary,28,186.24,12,10,84,3,2.1,Two-Year,1,1
CUST-0044,66,Male,40,90.25,3,9,3,2,2.0,Annual,0,1
CUST-0045,58,Non-Binary,25,255.65,6,31,51,8,1.6,Two-Year,0,0
CUST-0046,67,Male,55,88.31,12,44,66,15,1.2,Month-to-Month,0,1
CUST-0047,69,Female,68,345.94,9,20,56,20,4.3,Two-Year,1,0
CUST-0048,53,Female,21,264.12,7,28,33,25,2.0,Two-Year,1,0
CUST-0049,51,Female,31,106.99,1,45,36,8,2.1,Annual,0,1
CUST-0050,32,Female,20,251.65,1,26,52,11,3.2,Annual,0,1
CUST-0051,44,Female,3,302.01,12,36,48,16,1.0,Annual,1,1
CUST-0052,72,Female,69,265.42,8,38,28,16,1.9,Annual,1,1
CUST-0053,39,Non-Binary,52,257.6,7,8,79,18,1.1,Annual,0,1
CUST-0054,45,Male,60,75.88,4,24,41,7,2.8,Annual,1,1
CUST-0055,71,Female,33,294.7,7,1,69,2,5.0,Annual,0,0
CUST-0056,67,Non-Binary,6,267.67,3,12,2,20,1.6,Month-to-Month,1,1
CUST-0057,54,Male,60,249.32,12,23,21,20,3.4,Two-Year,0,0
CUST-0058,28,Female,14,208.86,4,36,86,13,2.6,Two-Year,0,1
CUST-0059,62,Non-Binary,32,49.14,12,19,87,20,4.2,Two-Year,0,0
CUST-0060,45,Non-Binary,48,38.1,10,21,1,14,4.3,Month-to-Month,1,0
CUST-0061,58,Female,20,160.89,11,33,83,9,3.5,Two-Year,1,0
CUST-0062,70,Non-Binary,35,122.97,3,5,35,15,2.0,Annual,1,1
CUST-0063,49,Female,24,178.33,5,16,43,9,4.5,Two-Year,1,0
CUST-0064,51,Male,11,95.85,6,31,71,25,2.0,Annual,1,1
CUST-0065,19,Male,38,89.23,11,15,39,22,3.3,Annual,1,0
CUST-0066,65,Non-Binary,43,132.86,7,17,39,9,1.9,Two-Year,0,1
CUST-0067,65,Non-Binary,24,79.17,11,30,35,24,3.4,Two-Year,1,0
CUST-0068,71,Male,38,91.21,2,19,1,23,3.1,Annual,0,0
CUST-0069,53,Female,17,228.69,12,31,13,1,3.3,Annual,1,0
CUST-0070,29,Male,33,330.26,7,7,8,13,3.0,Two-Year,0,1
CUST-0071,69,Non-Binary,39,43.54,3,7,71,25,2.7,Two-Year,0,0
CUST-0072,42,Female,57,114.61,9,27,39,19,3.5,Two-Year,0,0
CUST-0073,31,Non-Binary,28,103.66,1,10,30,6,3.2,Month-to-Month,0,1
CUST-0074,62,Non-Binary,61,112.57,3,18,90,10,3.8,Annual,0,0
CUST-0075,34,Non-Binary,26,157.42,8,14,82,5,4.6,Month-to-Month,0,1
CUST-0076,68,Female,37,162.12,7,44,38,23,2.6,Annual,1,1
CUST-0077,56,Male,56,261.07,9,16,3,3,1.9,Two-Year,0,0
CUST-0078,61,Female,6,270.64,2,30,66,21,2.8,Annual,0,0
CUST-0079,45,Non-Binary,63,339.63,7,22,52,11,2.3,Month-to-Month,0,1
CUST-0080,62,Female,37,236.97,6,35,4,15,1.4,Annual,1,1
CUST-0081,67,Female,66,291.35,0,42,69,15,2.7,Month-to-Month,1,0
